2025-06-04 23:29:17.957857 | 192.168.1.27 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:17.996713 | 192.168.1.145 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:18.039797 | 192.168.1.172 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:18.075513 | 192.168.1.111 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:18.117676 | 192.168.1.185 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:18.161269 | 192.168.1.136 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:18.201359 | 192.168.1.189 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:18.232207 | 192.168.1.210 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:18.268657 | 192.168.1.191 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:18.308382 | 192.168.1.247 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:18.352213 | 192.168.1.117 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:18.388965 | 192.168.1.164 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:18.427790 | 192.168.1.194 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:18.469655 | 192.168.1.227 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:18.529564 | 192.168.1.176 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:18.573170 | 192.168.1.127 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:18.609446 | 192.168.1.244 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:18.653429 | 192.168.1.5 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:18.689078 | 192.168.1.218 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:18.748545 | 192.168.1.185 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:18.784463 | 192.168.1.30 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:18.825424 | 192.168.1.83 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:18.865227 | 192.168.1.22 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:18.908410 | 192.168.1.197 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:18.943700 | 192.168.1.140 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:18.984650 | 192.168.1.160 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:19.025318 | 192.168.1.206 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:19.052328 | 192.168.1.51 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:19.088662 | 192.168.1.182 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:19.140377 | 192.168.1.211 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:19.173697 | 192.168.1.165 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:19.217024 | 192.168.1.225 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:19.268586 | 192.168.1.160 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:19.298022 | 192.168.1.24 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:19.332101 | 192.168.1.85 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:19.378314 | 192.168.1.115 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:19.417073 | 192.168.1.52 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:19.459806 | 192.168.1.35 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:19.501682 | 192.168.1.103 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:19.540595 | 192.168.1.195 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:19.579134 | 192.168.1.91 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:19.613253 | 192.168.1.76 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:19.652067 | 192.168.1.175 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:19.694226 | 192.168.1.122 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:19.736510 | 192.168.1.110 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:19.773605 | 192.168.1.82 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:19.816382 | 192.168.1.45 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:19.864762 | 192.168.1.179 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:19.912701 | 192.168.1.25 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:19.950036 | 192.168.1.86 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:19.983684 | 192.168.1.110 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:20.024133 | 192.168.1.130 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:20.076367 | 192.168.1.20 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:20.120205 | 192.168.1.59 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:20.164399 | 192.168.1.242 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:20.201936 | 192.168.1.177 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:20.237969 | 192.168.1.133 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:20.283343 | 192.168.1.171 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:20.320114 | 192.168.1.19 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:20.378109 | 192.168.1.180 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:20.410367 | 192.168.1.16 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:20.447910 | 192.168.1.236 → 192.168.0.105 | Suspicious SYN packet
2025-06-04 23:29:20.497365 | 192.168.1.156 → 192.168.0.105 | Suspicious SYN packet
